"frame" "survey" "transect" "y" "file" "timestamp" "time" "altitude" "depth" "heading" "lat" "lon" "pitch" "roll" "surge" "brightness" "exposure" "gain" "gamma" "shutter" "white_bu" "white_rv" "alt"
"87" 12 1 4 2 "frame001160_0.jpg" 1321534113.5981 "2011111712:48:33.598" 1.99901 28.7455 131.726 6505.5075 2245.5079 -0.197754 -1.69189 1.278 0 0.958069 25.9161 1 0.0105028 89 79 2
"88" 13 1 4 4 "frame001163_0.jpg" 1321534114.8703 "2011111712:48:34.870" 1.99962 28.7153 132.528 6505.5068 2245.5065 -0.560303 -2.09839 1.3 0 1.01123 25.9161 1 0.0105028 89 79 2
"89" 14 1 4 12 "frame001169_0.jpg" 1321534117.97817 "2011111712:48:37.978" 1.99989 28.6326 132.276 6505.5053 2245.5028 -0.609741 -1.6095 1.325 0 0.894836 25.9161 1 0.0105028 89 79 2
"90" 15 1 4 3 "frame001175_0.jpg" 1321534120.5181 "2011111712:48:40.518" 2.16819 28.5683 131.902 6505.504 2245.4997 -1.66443 -1.08765 1.327 0 0.870361 25.9161 1 0.0105028 89 79 2.2
"91" 16 1 4 6 "frame001178_0.jpg" 1321534122.18823 "2011111712:48:42.188" 2.17815 28.5702 131.204 6505.5031 2245.4977 -2.05444 -2.80151 1.318 0 0.84552 25.9161 1 0.0105028 89 79 2.2
"92" 17 1 4 3 "frame001379_0.jpg" 1321534215.13809 "2011111712:50:15.138" 2.24596 33.8129 132.239 6505.458 2245.3897 -3.04321 -2.78503 1.274 0 0.369263 25.9161 1 0.0105028 89 79 2.2
"93" 18 1 4 1 "frame001427_0.jpg" 1321534237.61822 "2011111712:50:37.618" 2.21507 34.4271 131.629 6505.4471 2245.3638 -3.16406 -1.27991 1.266 0 0.629395 25.9161 1 0.0105028 89 79 2.2
"94" 19 1 4 1 "frame001430_0.jpg" 1321534238.8882 "2011111712:50:38.888" 2.21532 34.4703 131.415 6505.4465 2245.3623 -1.27991 -2.02148 1.264 0 0.497192 25.9161 1 0.0105028 89 79 2.2
"95" 20 1 4 1 "frame001433_0.jpg" 1321534240.15821 "2011111712:50:40.158" 2.18028 34.4657 131.514 6505.4459 2245.3608 -2.35657 -1.38977 1.286 0 0.380859 25.9161 1 0.0105028 89 79 2.2
"96" 21 1 4 2 "frame001468_0.jpg" 1321534256.32819 "2011111712:50:56.328" 2.23091 34.659 132.355 6505.4381 2245.3421 -3.18604 -1.27991 1.29 0 0.409424 25.9161 1 0.0105028 89 79 2.2
"97" 22 1 4 1 "frame001477_0.jpg" 1321534260.57834 "2011111712:51:00.578" 2.24945 34.7692 131.888 6505.4361 2245.3371 -2.4939 -3.49915 1.262 0 0.609802 25.9161 1 0.0105028 89 79 2.2
"98" 23 1 4 5 "frame001496_0.jpg" 1321534269.4183 "2011111712:51:09.418" 2.12354 34.9006 132.833 6505.4318 2245.3268 -2.30164 -1.87317 1.27 0 0.64386 25.9161 1 0.0105028 89 79 2.1
"99" 24 1 4 2 "frame001511_0.jpg" 1321534276.71823 "2011111712:51:16.718" 2.16615 34.8139 132.75 6505.4283 2245.3184 -2.71362 -1.74133 1.266 0 0.64386 25.9161 1 0.0105028 89 79 2.2
"100" 25 1 4 0 "frame001517_0.jpg" 1321534279.4481 "2011111712:51:19.448" 2.08356 34.8057 132.976 6505.427 2245.3152 -2.18079 -0.74707 1.309 0 0.614746 25.9161 1 0.0105028 89 79 2.1
"101" 1 2 1 3 "frame001936_0.jpg" 1321535714.15828 "2011111713:15:14.158" 2.17653 28.0293 320.707 6505.4608 2245.6214 -1.79626 -1.16455 1.311 0 0.681824 25.9161 1 0.0105028 90 80 2.2
"102" 2 2 1 3 "frame001925_0.jpg" 1321535709.10833 "2011111713:15:09.108" 1.99918 28.1833 320.603 6505.4583 2245.6154 -0.692139 -1.99951 1.294 0 0.7901 25.9161 1 0.0105028 90 80 2
"103" 3 2 1 6 "frame001764_0.jpg" 1321535634.66814 "2011111713:13:54.668" 2.17351 31.0075 318.846 6505.4213 2245.5264 -2.4884 -2.72461 1.311 0 0.700439 25.9161 1 0.0105028 90 80 2.2
"104" 4 2 1 1 "frame001784_0.jpg" 1321535643.95814 "2011111713:14:03.958" 2.23589 31.0465 319.906 6505.4259 2245.5375 -3.03223 -2.84546 1.354 0 0.497192 25.9161 1 0.0105028 90 80 2.2
"105" 5 2 1 3 "frame001741_0.jpg" 1321535624.10908 "2011111713:13:44.109" 2.03415 31.0916 318.637 6505.416 2245.5136 0.439453 -3.16956 1.302 0 0.619629 25.9161 1 0.0105028 90 80 2
"106" 6 2 1 5 "frame001674_0.jpg" 1321535593.26815 "2011111713:13:13.268" 1.79075 31.9653 318.731 6505.4006 2245.4766 1.91711 -1.98303 1.355 0 0.658203 25.9161 1 0.0105028 90 80 1.8
"107" 7 2 1 4 "frame001914_0.jpg" 1321535704.0681 "2011111713:15:04.068" 1.87286 28.4196 320.564 6505.4557 2245.6093 0.664673 -2.53235 1.29 0 0.878601 25.9161 1 0.0105028 90 80 1.9
