"survey" "transect" "frame" "framex" "px" "py" "x1" "y1" "x2" "y2" "n" "altitude" "newle"
"253" 1 3 6 "frame6.jpg" 329 347 326 359 329 334 1 1.97531 5.92
"254" 1 3 6 "frame6.jpg" 214 325 215 335 214 310 1 1.97531 5.85
"255" 1 3 7 "frame7.jpg" 167 234 155 238 179 228 1 1.97531 6.07
"256" 1 3 8 "frame8.jpg" 524 470 520 483 525 454 1 1.97531 7.02
"257" 1 3 9 "frame9.jpg" 271 168 273 183 273 155 1 1.97531 6.28
"258" 1 3 9 "frame9.jpg" 508 75 503 87 507 61 1 1.97531 5.77
"259" 1 4 1 "frame1.jpg" 471 481 462 474 483 488 1 2.20625 6.75
"260" 1 4 10 "frame10.jpg" 608 415 617 411 601 424 1 2.20625 5.39
"261" 1 4 10 "frame10.jpg" 657 28 659 15 651 39 1 2.11923 5.83
"262" 1 4 10 "frame10.jpg" 791 315 796 327 788 304 1 2.11923 6.21
"263" 1 4 11 "frame11.jpg" 391 374 394 359 390 388 1 2.11923 7.32
"264" 1 4 11 "frame11.jpg" 570 471 579 480 559 455 1 2.11923 8.21
"265" 1 4 11 "frame11.jpg" 542 572 550 585 534 563 1 2.11923 7.19
"266" 1 4 12 "frame12.jpg" 203 332 196 319 207 347 1 2.11923 7.4
"267" 1 4 12 "frame12.jpg" 654 103 656 117 651 93 1 2.11923 5.88
"268" 1 4 13 "frame13.jpg" 359 157 354 146 364 174 1 2.11923 7.08
"269" 1 4 13 "frame13.jpg" 448 434 447 446 451 421 1 2.02198 6.2
"270" 1 4 14 "frame14.jpg" 720 488 732 482 708 495 1 2.02198 6.46
"271" 1 4 14 "frame14.jpg" 681 367 682 382 686 357 1 2.02198 6.09
"272" 1 4 14 "frame14.jpg" 417 335 410 347 425 324 1 2.02198 6.51
"273" 1 4 14 "frame14.jpg" 186 327 185 345 188 317 1 2.02198 6.72
"274" 1 4 14 "frame14.jpg" 325 346 320 335 331 359 1 1.99078 6.23
"275" 1 4 14 "frame14.jpg" 250 429 247 422 251 445 1 1.99078 5.66
"276" 1 4 14 "frame14.jpg" 385 147 378 133 392 158 1 1.99078 6.46
"277" 1 4 15 "frame15.jpg" 444 39 442 52 443 28 1 1.99078 5.31
"278" 1 4 16 "frame16.jpg" 308 93 299 84 319 101 1 1.99078 5.9
"279" 1 4 16 "frame16.jpg" 245 88 229 86 257 87 1 1.95445 6.27
"280" 1 4 16 "frame16.jpg" 123 384 138 389 107 383 1 1.95445 7.24
"281" 1 4 16 "frame16.jpg" 247 199 247 214 242 182 1 1.95445 7.15
"282" 1 4 17 "frame17.jpg" 539 25 551 34 528 17 1 1.95359 6.31
"283" 1 4 18 "frame18.jpg" 439 293 434 281 444 305 1 1.95359 6
"284" 1 4 2 "frame2.jpg" 353 356 363 367 347 347 1 1.95359 5.97
"285" 1 4 2 "frame2.jpg" 111 349 126 355 100 348 1 1.95359 6.2
"286" 1 4 2 "frame2.jpg" 243 198 239 186 245 213 1 1.95359 6.17
"287" 1 4 14 "frame14.jpg" 216 37 233 45 202 34 1 2.00893 7.35
"288" 1 4 14 "frame14.jpg" 409 235 421 243 403 224 1 1.91583 5.85
"289" 1 4 14 "frame14.jpg" 394 262 409 262 383 250 1 1.91583 6.4
"290" 1 4 14 "frame14.jpg" 204 155 195 142 214 164 1 1.91583 6.27
"291" 1 4 14 "frame14.jpg" 383 109 385 127 381 103 1 1.93012 5.32
"292" 1 4 16 "frame16.jpg" 175 423 178 438 168 415 1 1.95018 5.88
"293" 1 4 2 "frame2.jpg" 86 468 90 453 88 482 1 1.95018 6.9
"294" 1 4 2 "frame2.jpg" 54 246 54 233 55 261 1 1.95018 6.32
"295" 1 4 2 "frame2.jpg" 607 479 619 483 595 481 1 1.96451 5.71
"296" 1 4 20 "frame20.jpg" 335 127 331 140 338 118 1 1.96451 5.19
"297" 1 4 22 "frame22.jpg" 223 95 227 110 219 82 1 1.96451 6.33
"298" 1 4 23 "frame23.jpg" 384 331 375 319 394 339 1 1.96451 6.4
"299" 1 4 3 "frame3.jpg" 743 199 730 216 751 192 1 1.99901 7.05
"300" 1 4 3 "frame3.jpg" 552 103 545 115 555 92 1 1.99901 5.6
"301" 1 4 3 "frame3.jpg" 391 289 380 301 400 279 1 1.99962 6.9
"302" 1 4 4 "frame4.jpg" 281 382 287 366 276 391 1 1.99962 6.53
"303" 1 4 4 "frame4.jpg" 307 378 301 391 311 366 1 1.99962 6.43
"304" 1 4 4 "frame4.jpg" 745 237 747 249 744 223 1 1.99962 6.11
"305" 1 4 4 "frame4.jpg" 252 373 252 384 255 360 1 1.99989 5.81
"306" 1 4 5 "frame5.jpg" 747 405 750 422 748 393 1 1.99989 6.99
"307" 1 4 5 "frame5.jpg" 438 364 436 352 439 376 1 1.99989 5.81
"308" 1 4 6 "frame6.jpg" 408 511 402 524 411 497 1 1.99989 6.94
"309" 1 4 6 "frame6.jpg" 789 304 784 315 792 293 1 1.99989 5.44
"310" 1 4 6 "frame6.jpg" 195 486 193 501 195 474 1 1.99989 6.64
"311" 1 4 6 "frame6.jpg" 709 428 709 416 708 441 1 1.99989 6.07
"312" 1 4 7 "frame7.jpg" 329 514 331 531 328 503 1 1.99989 6.92
"313" 1 4 8 "frame8.jpg" 214 185 223 174 205 199 1 1.99989 7.08
"314" 1 4 8 "frame8.jpg" 411 19 408 35 412 6 1 1.99989 6.38
"315" 1 4 9 "frame9.jpg" 321 355 305 343 329 359 1 1.99989 6.78
"316" 1 4 1 "frame1.jpg" 422 200 428 193 416 211 1 1.99989 5.04
"317" 1 4 11 "frame11.jpg" 675 560 687 551 665 570 1 2.16819 7.43
"318" 1 4 13 "frame13.jpg" 340 359 345 375 339 349 1 2.16819 6.85
"319" 1 4 13 "frame13.jpg" 283 61 276 51 287 72 1 2.16819 5.7
"320" 1 4 15 "frame15.jpg" 65 218 78 229 52 211 1 2.17815 7.73
"321" 1 4 15 "frame15.jpg" 25 399 17 413 29 387 1 2.17815 7.53
